path,duration_sec,predicted_tags
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/452547_keekGallaryVideo.MP4,15.67,"vlog (0.393), lifestyle (0.16), animals (0.14)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/454082_keekGallaryVideo.MP4,36.13,"vlog (0.44), entertainment (0.229), news (0.09)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/466181_keekGallaryVideo.MP4,60.19,"news (0.726), celebrity (0.082), entertainment (0.076)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/480780_keekGallaryVideo.MP4,60.03,"flowers (0.543), nature (0.212), news (0.15)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/481473_keekGallaryVideo.MP4,60.01,"flowers (0.652), nature (0.273), news (0.037)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/489211_keekGallaryVideo.MP4,60.19,"news (0.427), flowers (0.251), food (0.064)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/489583_keekGallaryVideo.MP4,24.03,"flowers (0.827), news (0.036), vlog (0.031)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/497170_keekGallaryVideo.MP4,60.07,"news (0.356), entertainment (0.27), animals (0.171)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/500145_keekGallaryVideo.MP4,60.17,"news (0.459), entertainment (0.218), animals (0.122)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/500146_keekGallaryVideo.MP4,60.13,"news (0.341), entertainment (0.228), vlog (0.14)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/505557_keekGallaryVideo.MP4,60.06,"news (0.801), vlog (0.132), entertainment (0.032)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/505626_keekGallaryVideo.MP4,60.06,"news (0.548), food (0.136), vlog (0.068)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/505629_keekGallaryVideo.MP4,60.06,"news (0.816), vlog (0.134), entertainment (0.028)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/505666_keekGallaryVideo.MP4,60.16,"news (0.745), entertainment (0.087), fashion (0.057)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/505667_keekGallaryVideo.MP4,60.16,"news (0.896), celebrity (0.074), fashion (0.012)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/507712_keekGallaryVideo.MP4,60.2,"news (0.466), technology (0.129), fashion (0.089)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/507713_keekGallaryVideo.MP4,60.1,"news (0.364), technology (0.307), sports (0.126)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/507714_keekGallaryVideo.MP4,60.03,"news (0.465), vlog (0.096), fashion (0.078)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508084_keekGallaryVideo.MP4,60.03,"sports (0.565), news (0.214), entertainment (0.114)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508087_keekGallaryVideo.MP4,60.06,"news (0.386), vlog (0.297), traveling (0.088)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508153_keekGallaryVideo.MP4,60.17,"news (0.399), technology (0.114), gaming (0.088)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508156_keekGallaryVideo.MP4,26.75,"news (0.39), technology (0.351), entertainment (0.073)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508230_keekGallaryVideo.MP4,60.03,"fashion (0.161), technology (0.156), news (0.147)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508277_keekGallaryVideo.MP4,60.17,"celebrity (0.62), news (0.139), entertainment (0.083)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508283_keekGallaryVideo.MP4,60.2,"news (0.432), vlog (0.155), nature (0.123)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508286_keekGallaryVideo.MP4,60.1,"nature (0.316), news (0.189), vlog (0.178)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508289_keekGallaryVideo.MP4,60.03,"news (0.709), celebrity (0.103), technology (0.041)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508292_keekGallaryVideo.MP4,60.1,"news (0.281), fitness (0.266), lifestyle (0.122)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508326_keekGallaryVideo.MP4,60.03,"news (0.274), lifestyle (0.245), vlog (0.137)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508327_keekGallaryVideo.MP4,60.1,"news (0.51), celebrity (0.354), fashion (0.022)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508362_keekGallaryVideo.MP4,60.03,"vlog (0.295), news (0.28), fashion (0.121)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508376_keekGallaryVideo.MP4,43.2,"news (0.756), celebrity (0.102), lifestyle (0.03)"
/Users/bhaktiayarekar/Documents/Keek_Production_Work/videos/508377_keekGallaryVideo.MP4,49.66,"news (0.736), fashion (0.055), entertainment (0.054)"
